examples,categories
hi,greetings
hello,greetings
good morning,greetings
how are you?,greetings
hey,greetings
what's up?,greetings
hi how are you,greetings
how are you doing,greetings
heyy,greetings
hello there,greetings
h i,greetings
hii,greetings
welcome,greetings
hei,greetings
hi there,greetings
helo,greetings
good afternoon,greetings
can't see new mails,mail
outlook is stuck,mail
outlook is not updating,mail
mail is not updating,mail
how to recover emails,mail
how do i recover lost email,mail
i have deleted an email,mail
what to do about lost email,mail
outlook working slow,mail
mail s are not reaching the mailbox,mail
mailbox,mail
mails,mail
email,mail
outlook ,mail
web mail,mail
mails not coming,mail
incoming mail is lost,mail
where are my email,mail
where is my email,mail
what happened to my mailobx,mail
mailbox what happened,mail
why mailbox doesn't work,mail
help fix mailbox,mail
fix the outlook,mail
how to outlook,mail
outlook assistance,mail
how do i find help regarding outlook,mail
outlook not working ,mail
mailbox stopped working,mail
no new emails in my mailbox,mail
how to solve outlook related problem,mail
outlook problem,mail
mail is not working correctly,mail
emails ,mail
emails are not working,mail
my mailbox is not updating,mail
i can't see any new emails,mail
what happened with my e-mails,mail
I spilled water on my keyboard,keyboard
My keyboard doesn't work,keyboard
Keyboard in my laptop stopped responding,keyboard
my keyboard seems to be broken i don't know what happened it worked just fine yesterday,keyboard
I'm typing in my keyboard but nothing shows up,keyboard
hi whenever i try to write or type anything nothing shows on my screen,keyboard
i cant get my keyboard to work please help me,keyboard
hey my keyboard is not taking any input,keyboard
my keyboard stopped working,keyboard
why the keys in keyboard dont work,keyboard
hey my keyboard doesn't work,keyboard
keyboard,keyboard
keyboards,keyboard
how can i fix my keyboard,keyboard
why my keyboard stopped working?,keyboard
i cannot type anything with my keyboard,keyboard
i need your assistance my keyboard stopped working and i already have replaced the batteries,keyboard
keyboard stopped responding,keyboard
keeyboard,keyboard
keys,keyboard
keyboard not working,keyboard
can't type anuything,keyboard
nothing is being typped,keyboard
seems like my keys are dead,keyboard
why i can't type anything?,keyboard
what happend to my keyboard,keyboard
can't type any word,keyboard
i try to type but no luck,keyboard
no luck using the keyboard,keyboard
typing doesn't work,keyboard
destroyed keys,keyboard
destroyed keyboard,keyboard
broken keyboard,keyboard
keyboard is broken,keyboard
the keyboard stopped working,keyboard
no action when typing,keyboard
typing is not working ,keyboard
hence i cannot type anything,keyboard
how am i supposed to type when keyboard stopped responding,keyboard
keyboard is not respoding ,keyboard
typing on keyboard no action,keyboard
typing words,keyboard
the keyboard ,keyboard
the device to type in,keyboard
pressing keys nothing happens,keyboard
why when i type nothign shows up?,keyboard
i have destroyed the keyboard,keyboard
how can i turn the keyboard back? ,keyboard
i need the keyboard to start working again,keyboard
can you help me fix my keyboard? it stopped working suddenly,keyboard
my screen doesn't work,screen
My screen is black,screen
please help me fix the screens,screen
why i can't see anything on the screen,screen
can't see anything on the screen,screen
No power is going to my screen,screen
hi it seems like my screen has broken and it's like hardware problem,screen
i got new monitor this morning but it doesn't work please send help,screen
my screen is completely blank but all cables seem to be plugged in,screen
my screen seems to be broken,screen
I think I broke my screen,screen
screen does not work,screen
the screen doesn't respond,screen
can't see anything on the display,screen
external screen seems to not work,screen
why screens not working,screen
i need to use my screens,screen
help fix the screens,screen
how to fix the screen,screen
how to fix the display,screen
display,screen
screen,screen
screens,screen
monitors,screen
none of the monitors work,screen
my screen doesn't display anything,screen
black monitor,screen
dispaly is blank,screen
broken display,screen
why the display doesnt work,screen
can you fix the monitor?,screen
why my screens stopped working randomly?,screen
how to set up new screens?,screen
how do i set up a display,screen
display malfunctioning,screen
stupid scren,screen
scren doesn't work,screen
display stopped working,screen
screen stopped working i don't know why,screen
screens,screen
displays,screen
screen doesn t work,screen
Adobe Reader doesn't start,software
The program failed to start,software
I see error message,software
I need to update my software,software
I want to order new app,software
hi i am working on very important project and the program i am working on just crashed and i can't get it to work,software
can't start the application,software
software damaged,software
software crashed,software
can't use the programme,software
can't start program,software
app not opening,software
application,software
app,software
program,software
soft,software
software,software
soft crashed,software
can't use soft,software
assist fixing the application,software
troubleshooting the application,software
it crashed after restart,software
crashed ,software
crash ,software
crashing,software
app working slow,software
application is super slow,software
the application worked fine just yesterday,software
i need this app for my daily work,software
just installed,software
installed,software
uninstalled,software
reinstalled,software
reinstallation did not help me,software
how do i restart this app,software
clear cache,software
crashed randomly ,software
this stupid application just won't start please assist,software
thanks,thank_you
thank you,thank_you
thanks you are great,thank_you
thanks a lot,thank_you
hey thanks for your help,thank_you
much appreciated,thank_you
i am super thankful for the help,thank_you
thanks much appreciated,thank_you
thanky you,thank_you
you are awesome thanks a lot for help,thank_you
big thanks to you,thank_you
you are irreplecable ,thank_you
thx,thank_you
thx a lot,thank_you
thanks a thousand ,thank_you
really appreciate the help,thank_you
that was great ,thank_you
good job helping me,thank_you
that solved the problem thanks,thank_you
